age,income,gender,purchased
69,-10432,Male,0
32,74945,Male,0
48,86890,Other,0
36,81837,Male,0
19,71465,Other,0
30,69787,Male,0
44,-258,Female,1
53,80838,Male,1
38,65541,Female,0
74,56594,Male,0
45,62078,Male,0
-50,2000000,Other,0
35,51389,Female,0
26,17934,Male,0
34,76138,Female,0
51,74915,Female,0
19,41060,Female,0
75,69265,Male,1
42,53386,Male,0
75,32657,Female,0
33,64183,Male,0
22,39118,Other,0
51,49229,Other,1
22,44337,Female,1
35,49645,Female,0
21,66554,Female,0
74,61592,Female,0
19,64289,Female,0
70,60576,Male,0
43,54138,Male,0
56,57719,Male,0
47,21052,Other,0
64,42231,Male,0
23,75186,Male,1
69,91645,Female,0
49,22461,Male,0
71,65291,Female,0
22,15449,Other,0
200,1000000,Female,0
43,58046,Male,0
73,47965,Male,0
999,0,Other,0
77,12181,Other,0
77,37038,Female,0
65,51917,Other,0
45,56065,Female,1
72,62468,Male,1
40,63535,Male,1
71,52330,Other,1
66,30785,Female,1
64,56997,Female,1
58,33617,Other,0
55,21241,Male,0
38,36095,Male,0
26,25247,Female,0
51,58516,Female,1
67,22545,Male,0
49,79311,Other,0
22,19283,Female,1
20,60441,Other,1
56,72779,Other,0
64,70322,Female,1
71,53012,Other,1
79,72777,Other,0
59,105194,Female,0
66,65815,Female,0
60,73171,Other,0
62,43400,Male,1
56,39237,Male,0
20,87545,Male,1
150,5000000,Other,1
74,78505,Female,0
74,46309,Female,0
74,28980,Female,1
43,42349,Other,1
51,54733,Male,0
70,36155,Other,1
45,48842,Other,0
36,48670,Female,0
51,52330,Other,1
65,50998,Female,0
23,92720,Other,0
39,78588,Male,0
300,-50000,Male,0
70,46710,Male,1
50,90983,Female,1
65,62144,Male,0
27,26708,Female,1
58,45999,Male,1
18,44631,Female,0
64,57838,Other,1
26,53768,Female,0
22,72818,Male,0
71,34981,Male,1
29,31436,Female,0
71,33714,Male,0
20,29454,Other,0
24,31845,Male,0
76,52838,Other,1
68,50219,Other,0
