month,year,marketing_spend,sales_reps_count,avg_deal_size,leads_generated,market_conditions_score,product_category,region,monthly_sales
4,2022,9105,7,4775,100,6,Software,North,98967
3,2020,13802,11,7684,96,3,Software,South,90524
2,2023,15947,8,7873,101,5,Consulting,North,92100
11,2022,30755,4,3736,104,3,Services,East,59791
4,2021,11102,9,4988,108,5,Consulting,East,126669
5,2022,21970,9,6703,89,6,Consulting,South,88711
9,2023,7818,6,5319,104,5,Hardware,South,91925
12,2023,11289,10,6301,105,7,Services,Central,173468
5,2021,5068,7,11449,81,4,Services,Central,86556
2,2022,7297,6,2349,111,7,Consulting,North,78857
9,2021,3359,7,7488,107,5,Consulting,North,82869
1,2021,11315,5,8769,94,3,Hardware,Central,72684
2,2023,7827,11,7626,112,8,Software,North,145489
2,2020,18688,7,4925,79,4,Hardware,West,86022
10,2020,5577,8,3187,89,5,Hardware,South,93016
9,2023,11947,8,5527,105,5,Software,East,99868
10,2021,14898,9,2571,89,4,Software,West,99393
5,2023,11468,9,2812,83,2,Hardware,South,85198
2,2020,9019,11,6571,109,5,Software,West,114274
5,2021,7805,4,11168,108,1,Consulting,East,47258
2,2020,4276,8,5597,111,5,Hardware,West,104481
4,2022,2494,3,8962,110,2,Hardware,East,52685
9,2023,10034,9,3652,81,6,Services,South,111683
2,2023,6943,13,12289,110,3,Consulting,East,135572
5,2023,3255,9,4086,94,1,Software,Central,82380
10,2020,9166,7,3356,103,7,Hardware,South,110585
7,2022,14461,5,9984,97,7,Software,Central,69932
6,2022,6272,13,9496,95,5,Hardware,South,125072
4,2023,18684,7,4004,101,5,Software,Central,75583
6,2023,20576,14,5308,94,6,Software,West,116263
5,2023,20279,13,3934,105,5,Hardware,East,151576
10,2021,5233,10,3625,91,8,Software,South,119317
8,2023,16760,8,2719,114,7,Consulting,North,99322
11,2022,6459,7,4391,120,7,Hardware,South,128701
12,2020,9160,9,4833,90,7,Services,Central,139826
12,2023,14277,14,9660,97,8,Software,East,190522
12,2021,6746,3,3721,94,6,Consulting,North,66839
7,2023,9923,8,9067,103,8,Software,North,87860
7,2022,12916,4,5082,90,7,Software,North,66214
6,2023,8361,5,6778,119,9,Hardware,Central,80901
1,2020,14689,13,9301,91,2,Services,South,135439
9,2021,21833,5,5143,108,7,Consulting,West,101166
6,2022,8203,9,11423,108,8,Hardware,Central,87497
5,2023,3338,9,4804,97,8,Services,South,113969
9,2021,22794,7,2998,104,6,Services,East,85488
2,2020,15081,6,6999,112,4,Services,South,76899
2,2020,21607,12,5991,84,7,Software,North,134602
5,2021,3075,8,9665,81,7,Hardware,North,102447
3,2020,5646,14,3160,107,4,Services,South,145785
7,2021,13981,4,7217,108,5,Software,Central,50631
6,2023,26021,4,5160,122,7,Software,Central,59817
10,2020,6876,8,3186,84,5,Hardware,East,90799
1,2021,4744,8,5458,95,7,Hardware,West,99162
11,2021,6788,5,3239,87,5,Services,East,82832
7,2020,6562,7,8253,89,7,Hardware,South,84300
3,2023,12524,10,10255,96,4,Software,West,106952
11,2022,8153,9,5068,99,4,Services,East,145897
9,2023,19802,7,6579,87,7,Software,North,114367
9,2022,37781,14,3410,99,5,Consulting,North,140862
9,2022,19955,6,6750,107,5,Consulting,South,86762
10,2022,11149,10,3798,77,7,Software,South,118739
2,2022,3898,6,5319,100,7,Services,North,102194
5,2022,11267,10,9102,109,8,Consulting,South,127463
12,2021,13630,8,7485,108,6,Consulting,North,110735
3,2023,9350,8,2788,89,8,Consulting,Central,109108
2,2022,6251,7,2915,94,7,Hardware,South,117350
6,2022,6933,12,3119,97,6,Software,Central,104293
6,2023,11225,11,2189,98,7,Hardware,North,99270
10,2023,50450,12,5117,112,6,Services,West,146012
5,2022,8602,8,6018,111,6,Software,North,103494
1,2022,3647,6,5022,113,5,Consulting,North,78456
10,2023,3277,4,5886,99,5,Software,West,63786
9,2021,7594,7,7936,117,4,Hardware,Central,110204
1,2023,12657,7,3518,109,9,Hardware,West,114996
9,2023,4917,3,7959,94,5,Services,West,41911
5,2023,10580,9,3646,117,5,Consulting,North,94006
6,2021,20586,8,3449,104,5,Consulting,North,91188
12,2021,6708,6,6228,92,5,Software,Central,97375
6,2023,10720,9,7596,127,8,Consulting,South,85562
3,2021,20994,7,5507,93,5,Software,East,68675
7,2021,5314,10,2976,104,5,Software,West,102404
11,2023,3408,9,4023,107,9,Consulting,East,160095
3,2020,16413,13,3036,120,5,Software,North,138823
7,2020,16020,9,5645,114,3,Software,East,83588
4,2023,5773,4,5659,96,6,Software,West,56152
1,2021,2335,6,9335,118,9,Software,East,110803
9,2023,7501,5,4709,97,5,Hardware,Central,74726
3,2022,9880,5,3042,92,4,Software,North,77018
10,2020,88857,8,4144,103,7,Software,West,109704
11,2020,7829,14,4758,101,6,Software,North,216554
10,2023,4869,12,5266,124,5,Hardware,West,119608
2,2023,23536,4,2737,86,5,Hardware,East,82218
5,2020,11280,5,7018,103,5,Hardware,North,87535
3,2023,10398,7,4690,95,5,Software,Central,81915
12,2021,15943,5,3943,85,9,Hardware,East,146114
12,2020,10654,11,6746,110,4,Services,North,151875
4,2020,3544,7,2296,101,8,Services,Central,85540
9,2022,15068,10,3178,100,5,Hardware,South,108831
1,2022,9401,4,4225,119,9,Consulting,Central,90926
7,2021,4888,6,5645,107,7,Hardware,North,75951
