age,income,gender,purchased
56_years,unknown,Female,1
69_years,unknown,Male,1
46_years,unknown,Female,1
32_years,unknown,Female,1
60_years,unknown,Female,1
25_years,unknown,Male,1
78_years,unknown,Male,1
38_years,unknown,Female,1
56_years,unknown,Female,1
75_years,unknown,Male,1
36_years,unknown,Male,0
40_years,64430,Other,1
28_years,33131,Male,0
28_years,39733,Female,1
41_years,49129,Female,0
70_years,44493,Female,1
53_years,20000,Female,1
57_years,34087,Male,1
41_years,68611,Female,1
20_years,63555,Female,0
39_years,63968,Male,1
70_years,53472,Male,1
19_years,63245,Other,1
41_years,54822,Female,1
61_years,46635,Male,1
47_years,73295,Other,1
55_years,45085,Other,1
19_years,34606,Female,0
77_years,74243,Female,1
38_years,74669,Male,0
50_years,20000,Male,0
29_years,62759,Female,1
75_years,20000,Female,1
39_years,71389,Female,1
78_years,31324,Male,1
61_years,65684,Female,1
42_years,37702,Female,1
66_years,56657,Other,1
44_years,22385,Female,1
76_years,44383,Female,1
59_years,48803,Female,1
45_years,69223,Male,1
77_years,85885,Other,1
33_years,61613,Other,0
32_years,55953,Male,0
79_years,29437,Male,1
79_years,21628,Female,1
64_years,53806,Male,1
79_years,52715,Other,1
68_years,62161,Male,1
61_years,64099,Male,1
72_years,57218,Female,1
69_years,20660,Male,1
74_years,67852,Male,1
20_years,47894,Female,1
54_years,30893,Female,1
68_years,41704,Male,1
24_years,22025,Female,0
38_years,43118,Female,1
26_years,65015,Female,1
56_years,43447,Male,1
35_years,32768,Female,1
21_years,44836,Other,0
42_years,59219,Female,1
77_years,23012,Other,1
31_years,29618,Male,0
67_years,52540,Male,1
75_years,25011,Female,1
26_years,88902,Female,0
43_years,46933,Female,1
70_years,31860,Male,1
19_years,33652,Female,0
37_years,40337,Female,0
45_years,38603,Female,1
64_years,20000,Male,0
77_years,75274,Other,1
24_years,49690,Female,0
61_years,49452,Male,1
78_years,66357,Female,1
25_years,28907,Female,0
64_years,34833,Other,1
52_years,59148,Male,1
31_years,48712,Female,0
34_years,56898,Female,1
53_years,48398,Other,1
67_years,45172,Male,1
57_years,78670,Male,1
21_years,71315,Male,1
19_years,20000,Male,0
79_years,79606,Female,1
23_years,93174,Male,1
71_years,74635,Male,1
59_years,45713,Female,1
21_years,36216,Other,0
71_years,64556,Male,1
46_years,37618,Male,1
35_years,57123,Female,1
43_years,49562,Male,0
61_years,74361,Male,1
51_years,42210,Male,1
